true_label,protein_type,prediction_score
0,Disordered,0.862305673
0,Disordered,0.736028164
0,Disordered,0.345472444
0,Disordered,0.677898592
0,Disordered,0.886638877
0,Disordered,0.390139992
0,Disordered,0.707347396
0,Disordered,0.289248156
0,Disordered,0.552665902
0,Disordered,0.525720965
0,Disordered,0.354401985
0,Disordered,0.069957607
0,Disordered,0.748573773
0,Disordered,0.651231594
0,Disordered,0.117571127
0,Disordered,0.541848982
0,Disordered,0.832906242
0,Disordered,0.857025933
0,Folded,0.83380661
0,Folded,0.250594258
0,Folded,0.867152628
0,Folded,0.700139498
0,Folded,0.705398595
0,Folded,0.853913673
0,Folded,0.789448823
0,Folded,0.855413578
0,Folded,0.382481826
0,Folded,0.7911979
0,Folded,0.644177459
0,Folded,0.733383333
0,Folded,0.911091357
0,Folded,0.487614825
0,Folded,0.799606365
0,Folded,0.24098158
0,Folded,0.769922471
0,Folded,0.471543181
0,Folded,0.597233789
0,Folded,0.716631262
0,Folded,0.911489147
0,Folded,0.712906976
0,Folded,0.526344512
0,Folded,0.437711877
0,Folded,0.653938494
0,Folded,0.851118375
0,Folded,0.758866751
0,Folded,0.786922852
0,Folded,0.500083878
0,Folded,0.581055059
0,Folded,0.305576351
0,Folded,0.139345677
0,Folded,0.684525831
0,Folded,0.422777842
0,Folded,0.741838597
0,Folded,0.934570816
0,Folded,0.502615015
0,Folded,0.195255548
0,Folded,0.706155193
0,Folded,0.567845054
0,Folded,0.188515756
0,Folded,0.625849197
0,Folded,0.519098706
0,Folded,0.54412452
0,Folded,0.151542977
0,Folded,0.727527653
0,Folded,0.573782807
0,Folded,0.366231304
0,Folded,0.462678257
0,Folded,0.486823146
0,Folded,0.7645753
0,Folded,0.826788502
0,Folded,0.473212116
0,Folded,0.603936968
0,Folded,0.779597636
0,Folded,0.400612587
0,Folded,0.744693763
0,Folded,0.769104345
0,Folded,0.181533064
0,Folded,0.731205181
0,Folded,0.377895276
0,Folded,0.717141533
0,Folded,0.806397323
0,Folded,0.185725754
0,Folded,0.690512421
0,Folded,0.615614764
0,Folded,0.721470562
0,Folded,0.154326365
0,Folded,0.214364946
0,Folded,0.680142127
0,Folded,0.623811985
0,Folded,0.584165795
0,Folded,0.390514028
0,Folded,0.229764988
0,Folded,0.253978619
0,Folded,0.838679494
0,Folded,0.621086168
0,Folded,0.734897804
0,Folded,0.721779361
0,Folded,0.828281085
0,Folded,0.526842661
0,Folded,0.591102809
0,Folded,0.773049197
0,Folded,0.579766595
0,Folded,0.356339453
0,Folded,0.702259085
0,Folded,0.595791665
0,Folded,0.426930421
0,Folded,0.478712126
0,Folded,0.873920309
0,Folded,0.422794238
0,Folded,0.78229233
0,Folded,0.183032548
0,Folded,0.340232752
0,Folded,0.466246512
0,Folded,0.501131658
0,Folded,0.759613674
0,Folded,0.791668343
0,Folded,0.686392588
1,Disordered,0.848563806
1,Disordered,0.696134808
1,Disordered,0.713626269
1,Disordered,0.369035597
1,Disordered,0.892313597
1,Disordered,0.932451935
1,Disordered,0.599719305
1,Disordered,0.722300994
1,Disordered,0.852106367
1,Disordered,0.828636439
1,Disordered,0.507574876
1,Disordered,0.570764648
1,Disordered,0.826914745
1,Disordered,0.534782851
1,Disordered,0.786035755
1,Disordered,0.52607075
1,Disordered,0.525419172
1,Disordered,0.679623043
1,Disordered,0.777888278
1,Disordered,0.573610662
1,Disordered,0.687792885
1,Disordered,0.935643248
1,Disordered,0.604331807
1,Disordered,0.889330875
1,Disordered,0.756468473
1,Disordered,0.567799789
1,Disordered,0.659706059
1,Disordered,0.767985301
1,Disordered,0.889594608
1,Disordered,0.718523731
1,Disordered,0.809254491
1,Disordered,0.810614105
1,Disordered,0.64089912
1,Disordered,0.799127176
1,Disordered,0.809520099
1,Disordered,0.669319378
1,Disordered,0.730914352
1,Disordered,0.449883995
1,Disordered,0.619382804
1,Disordered,0.50433551
1,Disordered,0.865215523
1,Disordered,0.653203951
1,Disordered,0.909714748
1,Disordered,0.454710279
1,Disordered,0.648091181
1,Disordered,0.432213373
1,Disordered,0.837627415
1,Disordered,0.778930127
1,Disordered,0.427684641
1,Disordered,0.485716309
1,Disordered,0.832758239
1,Disordered,0.847225337
1,Disordered,0.796001794
1,Disordered,0.804802835
1,Disordered,0.7853995
1,Disordered,0.506971289
1,Disordered,0.426400533
1,Disordered,0.682131609
1,Disordered,0.507298996
1,Disordered,0.586622358
1,Disordered,0.847633667
1,Disordered,0.825959321
1,Disordered,0.886727742
1,Disordered,0.616699528
1,Disordered,0.882809911
1,Disordered,0.893489446
1,Disordered,0.876104279
1,Disordered,0.748790542
1,Disordered,0.895069391
1,Disordered,0.760563404
1,Disordered,0.760005989
1,Disordered,0.715341462
1,Disordered,0.406282473
1,Disordered,0.793120783
1,Disordered,0.502955138
1,Disordered,0.795224489
1,Disordered,0.851654752
1,Disordered,0.826431753
1,Disordered,0.877711549
1,Disordered,0.775772249
1,Disordered,0.870532654
1,Disordered,0.775656671
1,Disordered,0.896330175
1,Disordered,0.690158398
1,Disordered,0.510031074
1,Disordered,0.370025254
1,Disordered,0.927906009
1,Disordered,0.835492845
1,Disordered,0.373854775
1,Disordered,0.716826145
1,Disordered,0.913698584
1,Disordered,0.755226208
1,Disordered,0.918844191
1,Disordered,0.744654549
1,Disordered,0.835354123
1,Disordered,0.68406854
1,Disordered,0.851859742
1,Disordered,0.532785811
1,Disordered,0.723773553
1,Folded,0.824914246
1,Folded,0.861915736
1,Folded,0.553651426
1,Folded,0.858679174
1,Folded,0.735605389
1,Folded,0.656680211
1,Folded,0.805764202
1,Folded,0.675917488
1,Folded,0.539646029
1,Folded,0.666999883
1,Folded,0.567070719
1,Folded,0.678174745
1,Folded,0.37707032
1,Folded,0.464649512
1,Folded,0.694728618
1,Folded,0.780630692
1,Folded,0.894256029
1,Folded,0.63216271
1,Folded,0.864064148
1,Folded,0.78007546
1,Folded,0.694369725
1,Folded,0.735977261
1,Folded,0.84450862
1,Folded,0.938925346
1,Folded,0.717823232
1,Folded,0.627739402
1,Folded,0.796442146
1,Folded,0.200629374
1,Folded,0.61211665
1,Folded,0.331520895
1,Folded,0.196225374
1,Folded,0.888767919
1,Folded,0.654060115
1,Folded,0.842039133
1,Folded,0.75222204
1,Folded,0.759104203
1,Folded,0.723686987
1,Folded,0.313301349
1,Folded,0.797787775
1,Folded,0.656442461
1,Folded,0.600088181
1,Folded,0.802682996
1,Folded,0.607972404
1,Folded,0.750523968
1,Folded,0.912243243
1,Folded,0.545660179
1,Folded,0.6938385
1,Folded,0.720529169
1,Folded,0.807869232
1,Folded,0.768350286
1,Folded,0.84491812
1,Folded,0.710677958
1,Folded,0.886674671
1,Folded,0.40109992
1,Folded,0.789526585
1,Folded,0.86346174
1,Folded,0.246521789
1,Folded,0.84610752
1,Folded,0.801763291
1,Folded,0.913906073
1,Folded,0.679616098
1,Folded,0.236818013
1,Folded,0.865504184
1,Folded,0.561392287
1,Folded,0.534028221
1,Folded,0.865038336
1,Folded,0.84840857
1,Folded,0.607450927
1,Folded,0.594087662
1,Folded,0.863013729
1,Folded,0.360145162
1,Folded,0.840685385
1,Folded,0.759373599
1,Folded,0.550167995
1,Folded,0.890455587
1,Folded,0.748056918
1,Folded,0.83003106
1,Folded,0.576180293
1,Folded,0.639564239
1,Folded,0.955128507
1,Folded,0.634987976
1,Folded,0.559259164
1,Folded,0.554827464
1,Folded,0.76664963
1,Folded,0.636811643
1,Folded,0.442469395
1,Folded,0.6938385
1,Folded,0.718068712
1,Folded,0.733964051
1,Folded,0.76365087
1,Folded,0.941941285
1,Folded,0.737632097
1,Folded,0.853682811
1,Folded,0.834525131
1,Folded,0.221680586
1,Folded,0.921950911
1,Folded,0.639204983
1,Folded,0.33652186
1,Folded,0.594526275
